System,Problem,InterventionUnit,AttributionUnit,CausalEstimator,ReplayMechanism,StochasticityHandling,ProvenanceRepresentation,EvidenceLevelRepresentation,Multimodality,FailurePropagation,CascadeAnalysis,InterventionSelectivity,BenchmarkType,BenchmarkScale,GroundTruth,EvalMetrics,PublicCode,Reproducibility,ClosestOverlapWithCELA
CAPTAIN/CELA,Evidence-channel causal attribution,Evidence-flow channel (ARTIFACT_REPLACEMENT),Channel-level,CEE (counterfactual paired replay),Deterministic paired replay,MockLLM deterministic; real-LLM sanity only,Execution graph + provenance edges,EvidenceFlowGraph with multimodal nodes,Yes (text/image/structured artifacts),Yes (cascade estimation),Yes (GreedyCascadeSelector),Channel-level (modify one artifact not whole event),Controlled mechanism instances,275 instances / 11 families,Machine-readable CausalMechanismSpec,causal_precision/recall/F1/prevention/CEE/collateral,Yes (MIT),Deterministic seeds + committed raw data,—
Who&When Pro,Agent failure attribution benchmark,None (observational),Step-level,None,None,N/A,Sequential text logs,None,Text only,None,None,None,Human-annotated trajectories,12326 trajectories,Human annotation,Step accuracy / failure attribution,Partial,Dataset available,Root cause identification
CAR (Causal Agent Replay),Causal failure step identification,Step-level do(·),Step-level,Contrastive + Monte-Carlo Shapley,Forward stochastic replay,Stochastic re-execution,Step sequence,None,Limited,None,None,Step-level,Simulated environments,Varies,Environment reset,Attribution accuracy,Unknown,Environment-dependent,Counterfactual replay + causal attribution
CausalFlow,Interventional failure diagnosis,Step-level,Step-level,Causal Responsibility Scores (CRS),Counterfactual intervention,Deterministic correction,Step sequence,None,Limited,None,None,Step-level,Simulated tasks,Varies,Task completion,Repair accuracy,Unknown,Task-dependent,Interventional causal step isolation
AgentRx,First unrecoverable failure step,None,Step (first unrecoverable),None (constraint-based),None,N/A,Trajectory IR,None,Limited,Implicit,None,None,Multi-domain tasks,Varies,Constraint violation,Step accuracy,Unknown,Task-dependent,Formalized intermediate representation
From Spark to Fire,Error cascade modeling,None (governance),Message-level,None (structural),None,N/A,Directed dependency graphs,None,Text only,Yes (cascade governance),Yes (governance layer),None,Multi-agent scenarios,Varies,Structural,Cascade metrics,Unknown,Scenario-dependent,Error cascade modeling
AgenticRAG-FP,RAG failure propagation,Hop-level retrieval,Hop-level,Downstream re-execution shift,Re-execution,Deterministic,Hop chain,None,Text (retrieval),Yes (hop propagation),None,Hop-level,RAG pipelines,Varies,Retrieval ground truth,Signal loss depth,Unknown,Pipeline-dependent,Error propagation measurement
Oat,Unsupervised anomaly detection,None,Step-level (anomaly),Latent deviation (Neural CDE),None,Latent space,None,None,Limited,None,None,None,Agent trajectories,Varies,Normal dynamics,Anomaly score,Unknown,Model-dependent,Step-level failure isolation
AgentProcessBench,Process-level evaluation,None,Step-level,None,None,N/A,Step sequence,None,Text only,None,None,None,Human-verified steps,3940+ cases,Human ternary labels,Step accuracy / first error,Unknown,Task-dependent,Step-level evaluation
AgenTracer,Multi-agent failure attribution,Fault injection,Agent-level,Fine-tuned tracer model,Trajectory replay,Deterministic,Sequential log,None,Limited,None,None,Agent-level,Multi-agent scenarios,Varies,Injected faults,Attribution accuracy,Unknown,Model-dependent,Counterfactual replay for multi-agent
RAFFLES,Reasoning-based attribution,None (analytical),Component-level,LLM-as-judge probing,None,N/A,None,None,Text only,None,None,None,Long-horizon tasks,Varies,LLM evaluation,Attribution score,Unknown,LLM-dependent,Multi-component failure analysis
DoVer,Multi-agent failure testing,Message edit / plan alteration,Segment-level,Heuristic success flipping,Trial segment replay,Heuristic,Message graph,None,Text only,None,None,Segment-level,Multi-agent tasks,Varies,Task completion,Recovery rate,Unknown,Task-dependent,Active intervention and state replay
SAFARI,Ultra-long context fault debugging,None (search-based),Context-level,None,None,N/A,Tool-augmented search,None,Text only,None,None,None,Long-context tasks,Varies,Context search,Debug accuracy,Unknown,LLM-dependent,Agent fault attribution over long horizons
